Algoritmo,Número de Comparações,count,mean,std,min,25%,50%,75%,max
Bubble Sort,50,100.0,89.9287393939394,0.5344406812004341,88.55090909090909,89.59914141414141,89.91181818181818,90.24989898989901,91.0381818181818
Bubble Sort,100,100.0,89.9287393939394,0.5344406812004341,88.55090909090909,89.59914141414141,89.91181818181818,90.24989898989901,91.0381818181818
Bubble Sort,200,100.0,89.9287393939394,0.5344406812004341,88.55090909090909,89.59914141414141,89.91181818181818,90.24989898989901,91.0381818181818
Corsort,50,100.0,5.126064646464647,0.3074073436814225,4.042222222222223,4.943989898989899,5.111616161616162,5.342929292929293,5.873737373737374
Corsort,100,100.0,5.126064646464647,0.3074073436814225,4.042222222222223,4.943989898989899,5.111616161616162,5.342929292929293,5.873737373737374
Corsort,200,100.0,5.126064646464647,0.3074073436814225,4.042222222222223,4.943989898989899,5.111616161616162,5.342929292929293,5.873737373737374
Heap Sort,50,100.0,10.66591111111111,0.5555786507670397,9.28060606060606,10.303434343434343,10.671111111111111,11.009696969696972,11.927070707070706
Heap Sort,100,100.0,10.66591111111111,0.5555786507670397,9.28060606060606,10.303434343434343,10.671111111111111,11.009696969696972,11.927070707070706
Heap Sort,200,100.0,10.66591111111111,0.5555786507670397,9.28060606060606,10.303434343434343,10.671111111111111,11.009696969696972,11.927070707070706
Merge Sort,50,100.0,5.117337373737374,0.3035472927321744,4.05959595959596,4.940757575757576,5.096565656565657,5.3524242424242425,5.841010101010101
Merge Sort,100,100.0,5.117337373737374,0.3035472927321744,4.05959595959596,4.940757575757576,5.096565656565657,5.3524242424242425,5.841010101010101
Merge Sort,200,100.0,5.117337373737374,0.3035472927321744,4.05959595959596,4.940757575757576,5.096565656565657,5.3524242424242425,5.841010101010101
Multizip Sort,50,100.0,5.11720404040404,0.30319765024434436,4.062020202020202,4.940757575757576,5.096565656565657,5.3524242424242425,5.845050505050505
Multizip Sort,100,100.0,5.11720404040404,0.30319765024434436,4.062020202020202,4.940757575757576,5.096565656565657,5.3524242424242425,5.845050505050505
Multizip Sort,200,100.0,5.11720404040404,0.30319765024434436,4.062020202020202,4.940757575757576,5.096565656565657,5.3524242424242425,5.845050505050505
Shell Sort,50,100.0,8.570367676767678,0.8594277468562582,6.382222222222223,8.003838383838383,8.535959595959596,9.110959595959596,10.42989898989899
Shell Sort,100,100.0,8.570367676767678,0.8594277468562582,6.382222222222223,8.003838383838383,8.535959595959596,9.110959595959596,10.42989898989899
Shell Sort,200,100.0,8.570367676767678,0.8594277468562582,6.382222222222223,8.003838383838383,8.535959595959596,9.110959595959596,10.42989898989899
